,Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Data Value,Z-Score,Year,St_Year,St_Month,St_Day,En_Year,En_Month,En_Day
0,179772,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,409.0,Southeast Queens,2015,0.3,-0.8804074309773303,2015,2015,1,1,2015,12,31
1,179785,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209.0,Bensonhurst - Bay Ridge,2015,1.2,-0.8429053676640733,2015,2015,1,1,2015,12,31
2,178540,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,annual average 2012,8.6,-0.5345550693106266,2011,2011,1,12,2012,11,29
3,178561,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,annual average 2012,8.0,-0.559556444852798,2011,2011,1,12,2012,11,29
4,823217,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,summer 2022,6.1,-0.6387274674030072,2022,2022,1,6,2022,2,9
5,177910,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,summer 2012,10.0,-0.47621852637889345,2012,2012,1,6,2012,2,9
6,177952,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,summer 2013,9.8,-0.48455231822628386,2013,2013,1,6,2013,2,9
7,177973,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,summer 2013,9.8,-0.48455231822628386,2013,2013,1,6,2013,2,9
8,177931,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,summer 2012,9.6,-0.49288611007367433,2012,2012,1,6,2012,2,9
9,742274,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,summer 2021,7.2,-0.5928916122423598,2021,2021,1,6,2021,2,9
10,178582,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,annual average 2013,8.2,-0.5512226530054075,2012,2012,1,12,2013,11,30
11,178583,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,annual average 2013,8.1,-0.5553895489291027,2012,2012,1,12,2013,11,30
12,547477,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,annual average 2017,6.8,-0.6095591959371406,2017,2017,1,1,2017,12,31
13,547417,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,annual average 2017,6.8,-0.6095591959371406,2017,2017,1,1,2017,12,31
14,177784,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,summer 2009,10.6,-0.4512171508367221,2009,2009,1,6,2009,2,9
15,547414,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,annual average 2017,7.1,-0.597058508166055,2017,2017,1,1,2017,12,31
16,130413,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,210.0,Coney Island - Sheepshead Bay,2013,0.9,-0.855406055435159,2013,2013,1,1,2013,12,31
17,130412,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209.0,Bensonhurst - Bay Ridge,2013,1.7,-0.8220708880455971,2013,2013,1,1,2013,12,31
